Task,Wechsel_Score,English_Score,Transfer_Loss
human_aging,0.210762331838565,0.3273542600896861,-0.11659192825112111
public_relations,0.209090909090909,0.3181818181818182,-0.10909090909090918
machine_learning,0.25,0.3125,-0.0625
virology,0.1987951807228915,0.2590361445783132,-0.060240963855421686
high_school_chemistry,0.2315270935960591,0.2906403940886699,-0.059113300492610765
abstract_algebra,0.28,0.33,-0.04999999999999999
nutrition,0.1993464052287581,0.2483660130718954,-0.0490196078431373
management,0.174757281553398,0.2233009708737864,-0.04854368932038838
high_school_mathematics,0.2296296296296296,0.2740740740740741,-0.04444444444444448
logical_fallacies,0.2085889570552147,0.2515337423312883,-0.042944785276073566
philosophy,0.2379421221864952,0.2797427652733119,-0.04180064308681669
global_facts,0.23,0.27,-0.04000000000000001
jurisprudence,0.2407407407407407,0.2777777777777778,-0.03703703703703709
professional_accounting,0.2127659574468085,0.2482269503546099,-0.035460992907801386
high_school_computer_science,0.27,0.3,-0.02999999999999997
elementary_mathematics,0.2169312169312169,0.246031746031746,-0.0291005291005291
professional_psychology,0.2320261437908496,0.2581699346405229,-0.026143790849673304
prehistory,0.2407407407407407,0.2654320987654321,-0.024691358024691412
anatomy,0.237037037037037,0.2592592592592592,-0.0222222222222222
marketing,0.2222222222222222,0.2435897435897435,-0.02136752136752129
