publisher,publication_count
Springer Science and Business Media LLC,1536929
MDPI AG,1039807
Elsevier BV,717780
Wiley,521379
Oxford University Press (OUP),506162
MDPI,466334
BioMed Central,379286
Frontiers Media SA,377457
Cambridge University Press (CUP),333143
Informa UK Limited,323060
Public Library of Science (PLoS),317530
Public Library of Science,305198
BMJ,292875
Frontiers Media S.A.,271744
Hindawi Limited,257704
Research Square Platform LLC,190580
American Association for Cancer Research (AACR),177492
SAGE Publications,177412
Cold Spring Harbor Laboratory,173991
Copernicus GmbH,157128
Nature Publishing Group UK,149355
Springer International Publishing,126641
EDP Sciences,114677
Walter de Gruyter GmbH,111563
American Society for Microbiology,111205
Institute of Electrical and Electronics Engineers (IEEE),103087
"Scientific Research Publishing, Inc.",99526
American Chemical Society (ACS),96959
FapUNIFESP (SciELO),95649
John Wiley and Sons Inc.,91666
Ovid Technologies (Wolters Kluwer Health),84416
Royal Society of Chemistry (RSC),83866
Oxford University Press,77035
AIP Publishing,66782
Springer Berlin Heidelberg,64599
Hindawi Publishing Corporation,59432
Nature Publishing Group,59323
Qeios,57784
Spandidos Publications,56876
IEEE,54689
Hindawi,51988
S. Karger AG,50361
American Physical Society (APS),46715
American Geophysical Union (AGU),46053
The American Association of Immunologists,45325
Georg Thieme Verlag KG,43795
Springer US,42816
ACM,41245
BMJ Publishing Group,41176
Medip Academy,39085
International Union of Crystallography (IUCr),38382
The Rockefeller University Press,38018
Proceedings of the National Academy of Sciences,37842
Elsevier,36786
The Royal Society,34003
AME Publishing Company,33803
Canadian Center of Science and Education,33641
Royal College of Psychiatrists,31858
Society for Neuroscience,29407
Dove Medical Press,29016
Pensoft Publishers,28285
Dove,27803
Cureus,27121
Acoustical Society of America (ASA),26533
"Cureus, Inc.",26046
The Endocrine Society,25221
National Library of Serbia,24907
Mary Ann Liebert Inc,24696
African Journals Online (AJOL),24669
American Chemical Society,23888
Taylor & Francis,23654
IOS Press,23512
"Authorea, Inc.",22988
IOP Publishing,22795
SPIE,22653
International Union of Crystallography,22312
Excellent Publishers,22213
D.A. Spandidos,22213
Science Publishing Group,21914
The Company of Biologists,21898
Emerald,21838
OMICS Publishing Group,21821
Springer Netherlands,21055
The Royal Society of Chemistry,20871
American Diabetes Association,20730
American Medical Association (AMA),20043
Academic Journals,20037
Impact Journals LLC,18824
InTech,18752
Termedia Sp. z.o.o.,18070
California Digital Library (CDL),17042
OpenEdition,16807
Egypts Presidential Specialized Council for Education and Scientific Research,16769
Ivyspring International Publisher,16748
Public Library of ScienceNature Publishing GroupNature Publishing GroupNature Publishing GroupNature Publishing Group,16030
Springer Singapore,15997
JMIR Publications Inc.,15762
"MedCrave Group, LLC",15595
Rockefeller University Press,15429
AOSIS,14896
